stationId,longitude,latitude,date,time,PM2_5,PM10,NO2,CO,O3,SO2,Notes
aotizhongxin_aq,116.3974,39.9829,2017-01-01,14:00:00,453.0,467.0,156.0,7.2,3.0,9.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-01,15:00:00,417.0,443.0,143.0,6.8,2.0,8.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-01,16:00:00,395.0,467.0,141.0,6.9,3.0,8.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-01,17:00:00,420.0,484.0,139.0,7.4,3.0,9.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-01,18:00:00,453.0,520.0,157.0,7.6,4.0,9.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-02,01:00:00,16.0,,40.0,0.8,44.0,18.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-02,02:00:00,23.0,,42.0,0.7,45.0,17.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-02,03:00:00,18.0,,30.0,0.6,59.0,14.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-02,04:00:00,58.0,247.0,76.0,2.4,46.0,12.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-02,05:00:00,176.0,,99.0,0.3,42.0,17.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-02,06:00:00,109.0,211.0,86.0,2.6,58.0,14.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-02,07:00:00,267.0,,125.0,4.2,53.0,19.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-02,08:00:00,260.0,,115.0,3.9,56.0,18.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-02,09:00:00,212.0,,112.0,3.6,50.0,14.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-02,10:00:00,183.0,,111.0,0.3,33.0,14.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-02,11:00:00,136.0,,89.0,2.3,41.0,14.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-03,00:00:00,240.0,,132.0,5.7,3.0,17.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-03,01:00:00,237.0,,131.0,6.5,4.0,29.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-03,02:00:00,232.0,,117.0,5.4,7.0,32.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-03,03:00:00,155.0,,88.0,3.1,19.0,27.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-03,04:00:00,167.0,,98.0,3.2,25.0,31.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-03,05:00:00,170.0,,100.0,0.3,35.0,28.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-03,06:00:00,179.0,,127.0,3.4,26.0,27.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-03,07:00:00,244.0,,183.0,4.7,15.0,28.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-03,08:00:00,296.0,334.0,190.0,5.1,16.0,26.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-03,09:00:00,295.0,,,4.6,,27.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-04,02:00:00,441.0,469.0,208.0,9.2,4.0,18.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-04,03:00:00,333.0,,154.0,5.6,9.0,27.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-04,04:00:00,167.0,,107.0,3.4,17.0,30.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-04,05:00:00,216.0,,131.0,0.4,27.0,31.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-04,06:00:00,291.0,,167.0,4.9,23.0,31.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-04,07:00:00,325.0,331.0,179.0,6.1,20.0,37.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-04,08:00:00,367.0,,179.0,7.1,16.0,43.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-04,09:00:00,322.0,,179.0,6.8,7.0,40.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-04,10:00:00,298.0,,175.0,6.6,2.0,29.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-04,11:00:00,304.0,,176.0,6.8,2.0,26.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-04,12:00:00,346.0,,186.0,0.8,2.0,18.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-04,13:00:00,356.0,,180.0,8.3,2.0,14.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-05,00:00:00,275.0,,133.0,7.9,2.0,9.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-05,01:00:00,271.0,,135.0,7.7,2.0,11.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-05,02:00:00,276.0,,134.0,7.6,2.0,12.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-05,03:00:00,267.0,,132.0,7.4,2.0,11.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-05,04:00:00,249.0,,129.0,0.7,2.0,11.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-05,05:00:00,239.0,,121.0,0.6,3.0,12.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-05,06:00:00,223.0,,112.0,5.3,6.0,13.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-05,07:00:00,206.0,,105.0,4.5,10.0,15.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-05,08:00:00,162.0,,96.0,3.8,13.0,20.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-05,09:00:00,184.0,,110.0,4.1,3.0,21.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-06,04:00:00,193.0,,92.0,0.4,16.0,29.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-06,05:00:00,188.0,,88.0,3.8,25.0,31.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-06,06:00:00,200.0,,113.0,4.1,16.0,33.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-06,07:00:00,214.0,,130.0,4.3,10.0,31.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-06,08:00:00,215.0,,131.0,2.7,5.0,27.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-06,09:00:00,221.0,,139.0,4.2,2.0,21.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-06,10:00:00,211.0,,140.0,4.3,2.0,17.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-06,11:00:00,217.0,,146.0,4.4,2.0,17.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-06,12:00:00,220.0,,152.0,4.2,2.0,22.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-06,13:00:00,235.0,,157.0,0.5,2.0,24.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-07,03:00:00,167.0,,77.0,3.2,9.0,24.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-07,04:00:00,196.0,,83.0,3.4,12.0,24.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-07,05:00:00,184.0,,75.0,0.3,15.0,17.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-07,06:00:00,156.0,,68.0,2.6,11.0,10.0,Urban
aotizhongxin_aq,116.3974,39.9829,2017-01-07,07:00:00,115.0,,65.0,2.2,7.0,8.0,Urban
